Round Number,Date,Location,Home Team,Away Team,Result
20,03/08/2019 16:35,Optus Stadium,Fremantle,Geelong Cats,
20,03/08/2019 19:25,MCG,Melbourne,Richmond,
20,03/08/2019 19:40,Adelaide Oval,Adelaide Crows,St Kilda,
20,04/08/2019 13:10,MCG,Collingwood,Gold Coast Suns,
20,04/08/2019 15:20,Marvel Stadium,Carlton,West Coast Eagles,
20,04/08/2019 16:40,Gabba,Brisbane Lions,Western Bulldogs,
21,09/08/2019 19:50,UNSW Canberra Oval,GWS Giants,Hawthorn,
21,10/08/2019 13:45,MCG,Melbourne,Collingwood,
21,10/08/2019 14:10,Adelaide Oval,Port Adelaide,Sydney Swans,
21,10/08/2019 16:35,Gabba,Brisbane Lions,Gold Coast Suns,
21,10/08/2019 19:25,Marvel Stadium,Essendon,Western Bulldogs,
21,10/08/2019 19:25,GMHBA Stadium,Geelong Cats,North Melbourne,
21,11/08/2019 13:10,Marvel Stadium,St Kilda,Fremantle,
21,11/08/2019 15:20,MCG,Richmond,Carlton,
21,11/08/2019 16:40,Optus Stadium,West Coast Eagles,Adelaide Crows,
22,16/08/2019 19:50,MCG,Melbourne,Sydney Swans,
22,17/08/2019 13:45,MCG,Carlton,St Kilda,
22,17/08/2019 14:10,Gabba,Brisbane Lions,Geelong Cats,
22,17/08/2019 16:35,Adelaide Oval,Adelaide Crows,Collingwood,
22,17/08/2019 19:25,Marvel Stadium,North Melbourne,Port Adelaide,
22,17/08/2019 20:10,Optus Stadium,Fremantle,Essendon,
22,18/08/2019 13:10,MCG,Richmond,West Coast Eagles,
22,18/08/2019 15:20,Sydney Showground Stadium,GWS Giants,Western Bulldogs,
22,18/08/2019 16:40,Marvel Stadium,Hawthorn,Gold Coast Suns,
23,24/08/2019 00:00,Blundstone Arena,North Melbourne,Melbourne,
23,24/08/2019 00:00,MCG,Richmond,Brisbane Lions,
23,24/08/2019 00:00,Metricon Stadium,Gold Coast Suns,GWS Giants,
23,24/08/2019 00:30,Adelaide Oval,Port Adelaide,Fremantle,
23,24/08/2019 02:00,Optus Stadium,West Coast Eagles,Hawthorn,
23,25/08/2019 00:00,GMHBA Stadium,Geelong Cats,Carlton,
23,25/08/2019 00:00,Mars Stadium,Western Bulldogs,Adelaide Crows,
23,25/08/2019 00:00,MCG,Collingwood,Essendon,
23,25/08/2019 00:00,SCG,Sydney Swans,St Kilda,
Finals W1,05/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,06/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,07/09/2019 00:00,TBA,To be announced,To be announced,
Finals W1,08/09/2019 00:00,TBA,To be announced,To be announced,
Semi Finals,13/09/2019 00:00,TBA,To be announced,To be announced,
Semi Finals,14/09/2019 00:00,TBA,To be announced,To be announced,
Prelim Finals,20/09/2019 00:00,TBA,To be announced,To be announced,
Prelim Finals,21/09/2019 00:00,TBA,To be announced,To be announced,
Grand Final,28/09/2019 00:00,MCG,To be announced,To be announced,
